New URI		persName ektobe-headword.Source 1.fr	relation possibly-identical	relation syriaca---differentFrom	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	citedRange entry.Source 1	person ana		
*** Syriaca ID	Noms 	ektobe Headword (no date)	Possibly Identical?								extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)				Rôles	Remarks for SYRIACA
321	Abraham de Nephtar	Abraham de Nephtar																ܐܒܪܗܝܡ ܐܠܢܦܬܪܝ	ܐܒܪܗܝܡ ܐܠܢܦܬܪܝ									2499	none	#syriaca-author 	Auteur	
1113	Abraham de Qidun (4 s.)	Abraham de Qidun									4 s.	4 s.		250	0250	450	0450	ܐܒܪܗܡ ܩܝܢܕܘܢܝܐ, ܐܒܪܗ ܟܐܘܪܗܝܐ	ܐܒܪܗܡ ܩܝܢܕܘܢܝܐ	ܐܒܪܗ ܟܐܘܪܗܝܐ								2499	none	#syriaca-author #syriaca-saint	Auteur (Attribué à) / saint	
2821	Abraham Zabaya	Abraham Zabaya																ܐܒܪܗܡ	ܐܒܪܗܡ									2499	none	#syriaca-author 	Auteur	
2784	Amphiloque d'Iconium (4 s.)  	Amphiloque d'Iconium									4 s.	4 s.		250	0250	450	0450	ܐܡܦܝܠܟܝܘܣ	ܐܡܦܝܠܟܝܘܣ									2499	none	#syriaca-author 	Attribué à	
1592	Anthime de Trébizonde (6 s.)	Anthime de Trébizonde									6 s.	6 s.		450	0450	650	0650	ܐܢܬܝܡܘܣ	ܐܢܬܝܡܘܣ									2499	none	#syriaca-author 	auteur	
1594	Antoine le Grand (†356)	Antoine le Grand			†356	0356					†356							ܐܢܛܘܢܝܘܣ	ܐܢܛܘܢܝܘܣ									2499	none	#syriaca-author #syriaca-saint	Auteur / saint	
1066	Athanase Safar de Mardin	Athanase Safar de Mardin																اثانسيوس سفر									اثانسيوس سفر	2499	none	#syriaca-author 	Auteur	
423	Clément de Rome († c. 101) 	Clément de Rome			† c. 101		0086	0116			† c. 101							ܩܠܡܝܣ	ܩܠܡܝܣ									2499	none	#syriaca-author #syriaca-saint	Attribué à / Saint	
1203	Daniel de Scété (6 s.)	Daniel de Scété									6 s.	6 s.		450	0450	650	0650	ܕܢܝܐܝܠ	ܕܢܝܐܝܠ									2499	none	#syriaca-author 	Attribué à	
155	Denys de Tell Mahrè 	Denys de Tell Mahrè 																										2499	none	#syriaca-author 	Auteur	
467	Élisée, disciple de Malchus de Clysma (4-5 s.)	Élisée, disciple de Malchus de Clysma									4-5 s.	4-5 s.		250	0250	550	0550	ܐܠܝܫܥdisciple de Malchus de Clysma	ܐܠܝܫܥ		disciple de Malchus de Clysma							2499	none	#syriaca-author 	Attribué à	
204	Eudochos de Mélitène (12 s.)	Eudochos de Mélitène									12 s.	12 s.		1050	1050	1250	1250	ܐܸܒܕܵܘܟܵܣ	ܐܸܒܕܵܘܟܵܣ									2499	none	#syriaca-author 	Auteur	
1725	Eustathe d'Antioche († vers 337)	Eustathe d'Antioche			† vers 337		0322	0352			† vers 337							ܐܘܣܛܐܬܝܘܣ	ܐܘܣܛܐܬܝܘܣ									2499	none	#syriaca-author 	auteur	
2793	Helladius de Césarée	Helladius de Césarée																										2499	none	#syriaca-author 	Attribué à	
1034	Išo'yahb bar Meqaddam (15 s.)	Išo'yahb bar Meqaddam									15 s.	15 s.		1350	1350	1550	1550	ܝܫܘܥܝܗܒ ܒܪ ܡܩܕܡ	ܝܫܘܥܝܗܒ ܒܪ ܡܩܕܡ									2499	Paris, Bibliothèque nationale de France, syr. 369 [http://www.msscatalog.org/64507]	#syriaca-author 	Auteur	cf. Paris BnF syr. 369
1823	Jean le moine	Jean le moine																ܝܘܚܢܢ	ܝܘܚܢܢ									2499	none	#syriaca-author 	Auteur	
576	Jean Philopon (5-6 s.)	Jean Philopon 									5-6 s.	5-6 s.		350	0350	650	0650											2499	none	 	Auter 	
332	Jirjis Amira (16-17 s.)	Jirjis Amira									16-17 s.	16-17 s.		1450	1450	1750	1750	ܔܪܔܣ ܐܠܡܪܘܢܝ ܐܒܢ ܥܡܝܪܗ, George Amira	ܔܪܔܣ ܐܠܡܪܘܢܝ ܐܒܢ ܥܡܝܪܗ		George Amira							2499	none	#syriaca-author 	Auteur ; copiste	
2163	Jules de Rome (4 s.)	Jules de Rome									4 s.	4 s.		250	0250	450	0450	ܝܘܠܝܘܣ	ܝܘܠܝܘܣ									2499	none	#syriaca-author 	auteur	
2797	Léonce de Néapolis (†ca.670)	Léonce de Néapolis			†ca.670		0655	0685			†ca.670							ܠܐܘܢܛܝܘܣ   Léonce de Chypre  	ܠܐܘܢܛܝܘܣ   		Léonce de Chypre							2499	none	#syriaca-author 	Auteur	
1346	Macaire d'Alexandrie (4 s.)	Macaire d'Alexandrie									4 s.	4 s.		250	0250	450	0450	ܡܩܪܝܣ	ܡܩܪܝܣ									2499	none	#syriaca-author #syriaca-saint	Attribué à / saint	Beware : Macarius Alexandrinus is different from Macarius / Symeon, author of the Macarian Homilies (Syriaca ID 601)
1921	Michel, disciple d'Awgin	Michel, disciple d'Awgin																ܡܝܟܐܝܠ 	ܡܝܟܐܝܠ 									2499	none	#syriaca-author 	Attribué à	
2728	Origène (†254)	Origène			†254	0254					†254																	2499	none	#syriaca-author 	Auteur	
2790	Pachas de Gagim	Pachas de Gagim																ܦܟܐܣ ܕܓܓܡ	ܦܟܐܣ ܕܓܓܡ									2499	none	#syriaca-author 	Auteur	
82	Paul de Tella (7 s.)	Paul de Tella									7 s.	7 s.		550	0550	750	0750	ܦܘܠܘܣ	ܦܘܠܘܣ									2499	none	#syriaca-author 	Traducteur	
1413	Pierre d'Alexandrie (†311)	Pierre d'Alexandrie			†311	0311					†311							ܦܛܪܘܣ	ܦܛܪܘܣ									2499	none	#syriaca-author 	auteur	
684	Porphyre de Tyr (3-4 s.)	Porphyre de Tyr									3-4 s.	3-4 s.		150	0150	450	0450	ܦܘܪܦܝܪܝܘܤ	ܦܘܪܦܝܪܝܘܤ									2499	none	#syriaca-author 	Auteur	
1035	Ṣaliba bar Dawid	Ṣaliba bar Dawid																ܨܠܝܒܐ	ܨܠܝܒܐ									2499	none	#syriaca-author 	Auteur	
986	Šem'un, disciple de Rabban Yozadaq	Šem'un, disciple de Rabban Yozadaq																ܫܡܥܘܢSiméon 	ܫܡܥܘܢ		Siméon							2499	none	#syriaca-author 	Auteur	
2816	Sérapion de Thmuis 	Sérapion de Thmuis 																										2499	none	#syriaca-author 	Attribué à	
2788	Théopiste, disciple de Dioscore d'Alexandrie	Théopiste, disciple de Dioscore d'Alexandrie																										2499	none	#syriaca-author 	Attribué à	
796	Thomas évêque de Marga 	Thomas évêque de Marga 																ܬܐܘܡܐ ܐܦܝܣܘܦܐ ܕܡܓܐ	ܬܐܘܡܐ ܐܦܝܣܘܦܐ ܕܡܓܐ									2499	none	#syriaca-author 	Auteur	
1061	Yuḥanna ibn Masawayh (†857)	Yuḥanna ibn Masawayh			†857	0857					†857							Jean, ܝܘܚܢܐ ܡܐܣܘܗ	ܝܘܚܢܐ ܡܐܣܘܗ		Jean							2499	Paris, Bibliothèque nationale de France, syr. 065 [http://www.msscatalog.org/62843]	#syriaca-author 	auteur	cf. Paris BnF syr. 065