New URI	title syriaca-headword.en		title syriaca-headword.Edition 1.syr	Corresponding work	Corresponding Work URI	idno URI	idno URI	idno URI	idno URI	idno URI
9503	Bible (literary tradition)		ܟܬܒ̈ܐ ܩܕܝ̈ܫܐ	9716	http://wwwb.library.vanderbilt.edu/work/9716	https://en.wikipedia.org/wiki/Bible	https://www.wikidata.org/wiki/Q1845	https://viaf.org/viaf/174429434		
9520	Leviticus (literary tradition)		ܣܦܪܐ ܕܟܗ̈ܢܐ	3	http://wwwb.library.vanderbilt.edu/work/3	https://en.wikipedia.org/wiki/Book_of_Leviticus	https://www.wikidata.org/wiki/Q41490			
9522	Deuteronomy (literary tradition)		ܣܦܪܐ ܕܬܢ̇ܝܢ ܢܡܘܣܐ	5	http://wwwb.library.vanderbilt.edu/work/5	https://en.wikipedia.org/wiki/Book_of_Deuteronomy	https://www.wikidata.org/wiki/Q42614			
9526	1 Samuel (literary tradition)		ܣܦܪܐ ܕܫܡܘܐܝܠ ܢܒܝܐ ܩܕܡܝܐ	9	http://wwwb.library.vanderbilt.edu/work/9					
9527	2 Samuel (literary tradition)		ܣܦܪܐ ܕܫܡܘܐܝܠ ܢܒܝܐ ܕܬܪܝܢ	10	http://wwwb.library.vanderbilt.edu/work/10					
9529	2 Kings (literary tradition)		ܣܦܪܐ ܬܪܝܢ ܕܡܠ̈ܟܐ	12	http://wwwb.library.vanderbilt.edu/work/12					
9530	1 Chronicles (literary tradition)		ܣܦܪܐ ܩܕܡܝܐ ܕܒܪܝܡܝܢ	13	http://wwwb.library.vanderbilt.edu/work/13					
9531	2 Chronicles (literary tradition)		ܣܦܪܐ ܬܪܝܢ ܕܒܪܝܡܝܢ	14	http://wwwb.library.vanderbilt.edu/work/14					
9532	Ezra (literary tradition)		ܣܦܪܐ ܕܥܙܪܐ ܢܒܝܐ	15	http://wwwb.library.vanderbilt.edu/work/15	https://en.wikipedia.org/wiki/Book_of_Ezra	https://www.wikidata.org/wiki/Q131635			
9533	Nehemiah (literary tradition)		ܣܦܪܐ ܕܢܚܡܝܐ	16	http://wwwb.library.vanderbilt.edu/work/16	https://en.wikipedia.org/wiki/Book_of_Nehemiah	https://www.wikidata.org/wiki/Q131640	https://viaf.org/viaf/37711593		
9534	Esther (literary tradition)		ܣܦܪܐ ܕܐܣܬܝܪ	17	http://wwwb.library.vanderbilt.edu/work/17	https://en.wikipedia.org/wiki/Book_of_Esther	https://www.wikidata.org/wiki/Q131068			
9535	Job (literary tradition)		ܣܦܪܐ ܕܐܝܘܒ	18	http://wwwb.library.vanderbilt.edu/work/18	https://en.wikipedia.org/wiki/Book_of_Job	https://www.wikidata.org/wiki/Q4577			
9538	Ecclesiastes (literary tradition)		ܣܦܪܐ ܕܩܘܗܠܬ	21	http://wwwb.library.vanderbilt.edu/work/21	https://en.wikipedia.org/wiki/Ecclesiastes	https://www.wikidata.org/wiki/Q131072			
9539	Song of Solomon (literary tradition)		ܣܦܪܐ ܕܬܫܒܚܬ ܬܫܒ̈ܚܬܐ	22	http://wwwb.library.vanderbilt.edu/work/22	https://en.wikipedia.org/wiki/Song_of_Songs	https://www.wikidata.org/wiki/Q51670			
9542	Lamentations (literary tradition)		ܣܦܪܐ ܕܐܘ̈ܠܝܬܗ ܪܐܪܡܝܐ ܢܒܝܐ	25	http://wwwb.library.vanderbilt.edu/work/25	https://en.wikipedia.org/wiki/Book_of_Lamentations	https://www.wikidata.org/wiki/Q179058			
9546	Joel (literary tradition)		ܣܦܪܐ ܕܝܘܝܠ ܢܒܝܐ	29	http://wwwb.library.vanderbilt.edu/work/29	https://en.wikipedia.org/wiki/Book_of_Joel	https://www.wikidata.org/wiki/Q131643	https://viaf.org/viaf/211142694	https://viaf.org/viaf/176216021	
9547	Amos (literary tradition)		ܣܦܪܐ ܕܥܡܘܣ ܢܒܝܐ	30	http://wwwb.library.vanderbilt.edu/work/30	https://en.wikipedia.org/wiki/Book_of_Amos	https://www.wikidata.org/wiki/Q174677	https://viaf.org/viaf/183065024		
9548	Obadiah (literary tradition)		ܣܦܪܐ ܕܥܘܒܕܝܐ ܢܒܝܐ	31	http://wwwb.library.vanderbilt.edu/work/31	https://en.wikipedia.org/wiki/Book_of_Obadiah	https://www.wikidata.org/wiki/Q174753	https://viaf.org/viaf/184209830	https://viaf.org/viaf/181846225	https://viaf.org/viaf/211772822
9549	Micah (literary tradition)		ܣܦܪܐ ܕܡܝܟܐ ܢܒܝܐ	32	http://wwwb.library.vanderbilt.edu/work/32	https://en.wikipedia.org/wiki/Book_of_Micah	https://www.wikidata.org/wiki/Q178076	https://viaf.org/viaf/180230104	https://viaf.org/viaf/316742707	
9550	Nahum (literary tradition)		ܣܦܪܐ ܕܢܚܘܡ ܢܒܝܐ	33	http://wwwb.library.vanderbilt.edu/work/33	https://en.wikipedia.org/wiki/Book_of_Nahum	https://www.wikidata.org/wiki/Q179755	https://viaf.org/viaf/186314968	https://viaf.org/viaf/182637061	https://viaf.org/viaf/178962161
9551	Habakkuk (literary tradition)		ܣܦܪܐ ܕܚܒܩܘܩ ܢܒܝܐ	34	http://wwwb.library.vanderbilt.edu/work/34	https://en.wikipedia.org/wiki/Book_of_Habakkuk	https://www.wikidata.org/wiki/Q179760	https://viaf.org/viaf/177827389	https://viaf.org/viaf/179804577	
9552	Zephaniah (literary tradition)		ܣܦܪܐ ܕܨܦܢܝܐ ܢܒܝܐ	35	http://wwwb.library.vanderbilt.edu/work/35	https://en.wikipedia.org/wiki/Book_of_Zephaniah	https://www.wikidata.org/wiki/Q188563	https://viaf.org/viaf/177424410	https://viaf.org/viaf/316744693	
9553	Haggai (literary tradition)		ܣܦܪܐ ܕܚܓܝ ܢܒܝܐ	36	http://wwwb.library.vanderbilt.edu/work/36	https://en.wikipedia.org/wiki/Book_of_Haggai	https://www.wikidata.org/wiki/Q178338	https://viaf.org/viaf/185495533	https://viaf.org/viaf/182230336	
9554	Zechariah (literary tradition)		ܣܦܪܐ ܕܙܟܪܝܐ ܢܒܝܐ	37	http://wwwb.library.vanderbilt.edu/work/37	https://en.wikipedia.org/wiki/Book_of_Zechariah	https://www.wikidata.org/wiki/Q179769	https://viaf.org/viaf/186702507	https://viaf.org/viaf/195940988	https://viaf.org/viaf/179401582
9555	Malachi (literary tradition)		ܣܦܪܐ ܕܡܠܐܟܝ ܢܒܝܐ	38	http://wwwb.library.vanderbilt.edu/work/38	https://en.wikipedia.org/wiki/Book_of_Malachi	https://www.wikidata.org/wiki/Q51675	https://viaf.org/viaf/192637637	https://viaf.org/viaf/178594400	
9558	2 Esdras (4 Ezra) (literary tradition)		ܟܬܒܐ ܕܥܙܪܐ ܣ̇ܦܪܐ. ܕܡܬܩܪܐ ܫܠܐܬܐܝܠ.	41	http://wwwb.library.vanderbilt.edu/work/41	https://en.wikipedia.org/wiki/2_Esdras	https://www.wikidata.org/wiki/Q230150			
9562	The Two Books of Kings (literary tradition)		ܣܦܪ ܡ̈ܠܟܐ	45	http://wwwb.library.vanderbilt.edu/work/45	https://en.wikipedia.org/wiki/Books_of_Kings	https://www.wikidata.org/wiki/Q4224666			
9563	The Two Books of Chronicles (literary tradition)		ܣܦܪ ܕܒܪܝܡܝܢ	46	http://wwwb.library.vanderbilt.edu/work/46	https://en.wikipedia.org/wiki/Books_of_Chronicles	https://www.wikidata.org/wiki/Q161953			
9564	Book of Wisdom (literary tradition)		ܣܦܪܐ ܕܚܟܡܬܐ ܪܒܬܐ	47	http://wwwb.library.vanderbilt.edu/work/47	https://en.wikipedia.org/wiki/Book_of_Wisdom	https://www.wikidata.org/wiki/Q202135			
9565	Book of Illustrious Women (composed of Ruth and Susanna) (literary tradition)		ܟܬܒܐ ܕܥܠ ܢܫ̈ܐ ܡܫܒܚ̈ܬܐ	48	http://wwwb.library.vanderbilt.edu/work/48					
9566	Susanna (literary tradition)		ܟܬܒܐ ܕܫܘ̇ܫܢ ܛܘ̣ܒܢܝ̣ܬܐ	49	http://wwwb.library.vanderbilt.edu/work/49	https://en.wikipedia.org/wiki/Susanna_(Book_of_Daniel)	https://www.wikidata.org/wiki/Q756861			
9567	The Twelve Minor Prophets (literary tradition)		ܟܬܒܐ ܕܬܪ̈ܥܣܪ ܢܒ̈ܝܝܢ	50	http://wwwb.library.vanderbilt.edu/work/50	https://en.wikipedia.org/wiki/Twelve_Minor_Prophets	https://www.wikidata.org/wiki/Q245248	https://viaf.org/viaf/186714731	https://viaf.org/viaf/213035938	
9568	Jeremiah (literary tradition)		ܣܦܪܐ ܕܐܪܡܝܐ ܢܒܝܐ	24	http://wwwb.library.vanderbilt.edu/work/24	https://en.wikipedia.org/wiki/Book_of_Jeremiah	https://www.wikidata.org/wiki/Q131590	https://viaf.org/viaf/184659808	https://viaf.org/viaf/176172762	
9569	Prayer of Jeremiah (literary tradition)		ܨܠܘܬܐ ܕܐܪܡܝܐ	52	http://wwwb.library.vanderbilt.edu/work/52					
9570	Daniel (literary tradition)		ܣܦܪܐ ܕܕܢܝܐܠ ܢܒܝܐ	27	http://wwwb.library.vanderbilt.edu/work/27	https://en.wikipedia.org/wiki/Book_of_Daniel	https://www.wikidata.org/wiki/Q80115			
9571	Song of the Three Holy Children (literary tradition)		ܨܠܘܬܐ ܕܚܢܢܝܐ ܘܕܚܒܪ̈ܘܗܝ	54	http://wwwb.library.vanderbilt.edu/work/54					
9572	Bel and the Dragon (literary tradition)		ܬܫܥܝܬܐ ܕܒܝܠ ܦܬܟܪܐ ܘܬܫܥܝܬܐ ܕܬܢܝܢܐ 	55	http://wwwb.library.vanderbilt.edu/work/55	https://en.wikipedia.org/wiki/Bel_and_the_Dragon	https://www.wikidata.org/wiki/Q218087			
9573	Book of Holy Women (literary tradition)		ܟܬܒܐ ܕܥܠ ܢܫ̈ܐ ܩܕܝ̈ܫܬܐ	56	http://wwwb.library.vanderbilt.edu/work/56					
9574	Judith (literary tradition)		ܣܦܪܐ ܕܝܗܘܕܝܬ	57	http://wwwb.library.vanderbilt.edu/work/57	https://en.wikipedia.org/wiki/Book_of_Judith	https://www.wikidata.org/wiki/Q202129			
9575	Sirach/Ecclesiasticus (literary tradition)		ܣܦܪܐ ܕܝܫܘܥ ܒܪ ܐܣܝܪܐ	58	http://wwwb.library.vanderbilt.edu/work/58	https://en.wikipedia.org/wiki/Sirach	https://www.wikidata.org/wiki/Q155980			
9576	The Three Books of the Maccabees (literary tradition)			59	http://wwwb.library.vanderbilt.edu/work/59					
9577	1 Maccabees (literary tradition)		ܣܦܪܐ ܕܡܩ̈ܒܝܐ: ܐ	60	http://wwwb.library.vanderbilt.edu/work/60	https://en.wikipedia.org/wiki/1_Maccabees	https://www.wikidata.org/wiki/Q161985	https://viaf.org/viaf/192733858		
9578	2 Maccabees (literary tradition)		ܣܦܪܐ ܕܡܩ̈ܒܝܐ: ܒ	61	http://wwwb.library.vanderbilt.edu/work/61	https://en.wikipedia.org/wiki/2_Maccabees	https://www.wikidata.org/wiki/Q209748	https://viaf.org/viaf/198908857		
9579	3 Maccabees (literary tradition)			62	http://wwwb.library.vanderbilt.edu/work/62	https://en.wikipedia.org/wiki/3_Maccabees	https://www.wikidata.org/wiki/Q223169			
9580	4 Maccabees (literary tradition)		ܣܼܦܪܐ ܕܐܪܒܥܐ ܕܥܠ ܡܩ̈ܒܝܐ ܘܐܡܗܘܢ̈	63	http://wwwb.library.vanderbilt.edu/work/63	https://en.wikipedia.org/wiki/4_Maccabees	https://www.wikidata.org/wiki/Q230255			
9582	The Two Epistles of Baruch (literary tradition)		ܐܓܪ̈ܬܐ ܕܒܪܘܟ	65	http://wwwb.library.vanderbilt.edu/work/65					
9583	Epistle of Baruch (literary tradition)		ܐܓܪܬܐ ܕܒܪܘܟ ܣܦܪܐ	66	http://wwwb.library.vanderbilt.edu/work/66					
9584	Baruch (Second Epistle of Baruch) (literary tradition)		ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܒܪܘܟ ܣܦܪܐ	67	http://wwwb.library.vanderbilt.edu/work/67	https://en.wikipedia.org/wiki/Book_of_Baruch	https://www.wikidata.org/wiki/Q211746			
9585	Pentateuch (literary tradition)		ܟܬܒܐ ܕܐܘܪܝܬܐ ܕܡܘܫܐ ܢܒܝ̣ܐ	68	http://wwwb.library.vanderbilt.edu/work/68	https://en.wikipedia.org/wiki/Torah	https://www.wikidata.org/wiki/Q34990			
9586	Old Testament (literary tradition)		ܟܬܒܐ ܕܕܝܬܩܐ ܥܬܝܩܬܐ	69	http://wwwb.library.vanderbilt.edu/work/69	https://en.wikipedia.org/wiki/Old_Testament	https://www.wikidata.org/wiki/Q19786	https://viaf.org/viaf/185083399		
9587	New Testament (literary tradition)		ܟܬܒܐ ܕܕܝܬܩܐ ܚ̇ܕܬܐ	70	http://wwwb.library.vanderbilt.edu/work/70	https://en.wikipedia.org/wiki/New_Testament	https://www.wikidata.org/wiki/Q18813	https://viaf.org/viaf/185488588		
9593	Acts (literary tradition)		ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ	76	http://wwwb.library.vanderbilt.edu/work/76	https://en.wikipedia.org/wiki/Acts_of_the_Apostles	https://www.wikidata.org/wiki/Q40309			
9594	Romans (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܪ̈ܗܘܡܝܐ	77	http://wwwb.library.vanderbilt.edu/work/77	https://en.wikipedia.org/wiki/Epistle_to_the_Romans	https://www.wikidata.org/wiki/Q48203			
9595	1 Corinthians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܪ̈ܝܢܬܝܐ ܩܕܡܝܬܐ	78	http://wwwb.library.vanderbilt.edu/work/78	https://en.wikipedia.org/wiki/First_Epistle_to_the_Corinthians	https://www.wikidata.org/wiki/Q80355			
9596	2 Corinthians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܪ̈ܝܢܬܝܐ ܕܬܪܬܝܢ	79	http://wwwb.library.vanderbilt.edu/work/79	https://en.wikipedia.org/wiki/Second_Epistle_to_the_Corinthians	https://www.wikidata.org/wiki/Q123808			
9597	Galatians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܓܠܛܝ̈ܐ	80	http://wwwb.library.vanderbilt.edu/work/80	https://en.wikipedia.org/wiki/Epistle_to_the_Galatians	https://www.wikidata.org/wiki/Q128620	https://viaf.org/viaf/177784291		
9598	Ephesians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܐܦܣܝ̈ܐ	81	http://wwwb.library.vanderbilt.edu/work/81	https://en.wikipedia.org/wiki/Epistle_to_the_Ephesians	https://www.wikidata.org/wiki/Q408673	https://viaf.org/viaf/175374828		
9599	Philippians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܦܝܠܝܦܣܝ̈ܐ	82	http://wwwb.library.vanderbilt.edu/work/82	https://en.wikipedia.org/wiki/Epistle_to_the_Philippians	https://www.wikidata.org/wiki/Q51613			
